Time,818,825,826,828
600.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
1200.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
1800.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
2400.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Right Left Movements,Lane Blockage by Queue Spillback from Through Movements
3000.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
3600.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
4200.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Right Left Movements,Lane Blockage by Queue Spillback from Through Movements
4800.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
5400.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
6000.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Right Through Movements
6600.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
7200.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
7800.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
8400.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
9000.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Right Left Movements,Lane Blockage by Queue Spillback from Through Movements
9600.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Right Left Movements,Lane Blockage by Queue Spillback from Through Movements
10200.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
10800.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
11400.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
12000.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
12600.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
13200.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
13800.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Right Through Movements
14400.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
15000.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
15600.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
16200.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
16800.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
17400.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Right Through Movements
18000.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
18600.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
19200.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Right Through Movements
19800.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
20400.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Right Left Movements,Lane Blockage by Queue Spillback from Through Movements
21000.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Right Through Movements
21600.0,No Lane Blockage,No Lane Blockage,Lane Blockage by Queue Spillback from Left Movements,Lane Blockage by Queue Spillback from Through Movements
